area_type,availability,location
Super built-up Area,Ready To Move,Devarachikkanahalli
Built-up Area,Ready To Move,Thanisandra
Super built-up Area,22-Nov,Devanahalli
Built-up Area,Ready To Move,Bellari Road
Super built-up Area,Ready To Move,Kundalahalli
Super built-up Area,Ready To Move,Hennur
Super built-up Area,Ready To Move,Channasandra
Super built-up Area,Ready To Move,Hegde Nagar
Super built-up Area,18-May,1st Stage Indira Nagar
Super built-up Area,Ready To Move,Bellandur
Super built-up Area,Ready To Move,Hegde Nagar
Super built-up Area,Ready To Move,Kengeri
Super built-up Area,Ready To Move,Electronic City
Super built-up Area,Ready To Move,Budigere
Built-up Area,Ready To Move,Sunder Ram Shetty Nagar
Built-up Area,Ready To Move,Tindlu
Super built-up Area,Ready To Move,6th Block Jayanagar
Super built-up Area,Ready To Move,Jigani
Super built-up Area,Ready To Move,Haralur Road
Built-up Area,Ready To Move,Thanisandra
Built-up Area,18-Dec,Whitefield
Super built-up Area,Ready To Move,Sahakara Nagar
Super built-up Area,Ready To Move,Rajaji Nagar
Super built-up Area,Ready To Move,Kaikondrahalli
Super built-up Area,Ready To Move,Hennur Road
Super built-up Area,Ready To Move,Marathahalli
Built-up Area,Ready To Move,Marathahalli
Super built-up Area,Ready To Move,Hennur Road
Super built-up Area,Ready To Move,Kanakpura Road
Super built-up Area,Ready To Move,Kammasandra
Super built-up Area,19-Aug,Begur Road
Super built-up Area,Ready To Move,Marathahalli
Super built-up Area,18-May,Electronic City Phase II
Built-up Area,Ready To Move,Kadarenahalli
Super built-up Area,Ready To Move,Kasavanhalli
Super built-up Area,Ready To Move,Hebbal
Super built-up Area,Ready To Move,Old Madras Road
Super built-up Area,Ready To Move,Raja Rajeshwari Nagar
Super built-up Area,Ready To Move,Punappa Layout
Super built-up Area,Ready To Move,Thigalarapalya
Built-up Area,Ready To Move,Kaggadasapura
Built-up Area,Ready To Move,Chamrajpet
Super built-up Area,Ready To Move,Budigere
Plot Area,Ready To Move,Gubbalala
Plot Area,Ready To Move,KR Puram
Super built-up Area,Ready To Move,Hosa Road
Super built-up Area,Ready To Move,GM Palaya
Super built-up Area,Ready To Move,Kenchenahalli
Super built-up Area,Ready To Move,Dasarahalli
Super built-up Area,Ready To Move,Old Madras Road
Super built-up Area,Ready To Move,Pampa Extension
Plot Area,Ready To Move,Bommasandra Industrial Area
Super built-up Area,Ready To Move,Lavelle Road
Built-up Area,Ready To Move,4th Block Koramangala
Super built-up Area,18-Nov,Hebbal
Super built-up Area,22-Jun,Hoodi
Super built-up Area,18-Dec,Whitefield
Super built-up Area,Ready To Move,Sector 1 HSR Layout
Built-up Area,Ready To Move,Electronic City
Super built-up Area,Ready To Move,Balaji Gardens Layout
Super built-up Area,20-Aug,Begur Road
Plot Area,Ready To Move,Kogilu
Super built-up Area,Ready To Move,Banaswadi
Super built-up Area,Ready To Move,Gottigere
Super built-up Area,Ready To Move,Akshaya Nagar
Built-up Area,Ready To Move,Hegde Nagar
Super built-up Area,Ready To Move,Hulimavu
Super built-up Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,Sarjapur Road
Built-up Area,Ready To Move,ISRO Layout
Plot Area,Ready To Move,Hebbal
Built-up Area,Ready To Move,2nd Stage Nagarbhavi
Built-up Area,Ready To Move,Harlur
Super built-up Area,Ready To Move,Hoysalanagar
Plot Area,Ready To Move,Billekahalli
Super built-up Area,20-Dec,Whitefield
Super built-up Area,20-Dec,Whitefield
Super built-up Area,Ready To Move,Raja Rajeshwari Nagar
Super built-up Area,Ready To Move,Kodihalli
Built-up Area,Ready To Move,Babusapalaya
Built-up Area,Ready To Move,Kodichikkanahalli
Super built-up Area,Ready To Move,CV Raman Nagar
Super built-up Area,Ready To Move,Ilyas Nagar
Built-up Area,Ready To Move,Tumkur Road
Built-up Area,Ready To Move,Koramangala Industrial Layout
Plot Area,Ready To Move,Gubbalala
Built-up Area,18-Dec,Whitefield
Super built-up Area,Ready To Move,Battarahalli
Plot Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,Banaswadi
Super built-up Area,18-May,Thanisandra
Super built-up Area,21-Dec,Kanakpura Road
Plot Area,Ready To Move,Ramamurthy Nagar
Plot Area,18-Apr,Basaveswarnagar
Super built-up Area,18-Dec,Iblur Village
Super built-up Area,Ready To Move,Yelahanka
Super built-up Area,Ready To Move,Gottigere
Built-up Area,Ready To Move,Electronic City Phase II
Super built-up Area,Ready To Move,Indira Nagar
Super built-up Area,18-Dec,Sonnenahalli
Super built-up Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,Kallumantapa
Plot Area,Ready To Move,Vaishnavi Layout
Super built-up Area,Ready To Move,7th Phase JP Nagar
Super built-up Area,Ready To Move,Jaymahal Road
Plot Area,Ready To Move,Naganathapura
Built-up Area,Ready To Move,Suraksha Nagar
Built-up Area,18-Dec,"Off Sarjapur Road,"
Super built-up Area,Ready To Move,Electronics City Phase 1
Plot Area,Ready To Move,Nagarbhavi Garden Villas Layout
Plot Area,Ready To Move,Nagarbhavi
Built-up Area,Ready To Move,Mico Layout
Super built-up Area,Ready To Move,Marathahalli
Super built-up Area,Ready To Move,BTM 2nd Stage
Super built-up Area,18-Mar,Rajarajeshwari Nagara
Super built-up Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,Vasanth nagar
Built-up Area,Ready To Move,Agrahara Dasarahalli
Super built-up Area,Ready To Move,Bannerghatta Road
Plot Area,Ready To Move,Basaveshwara Nagar
Built-up Area,Ready To Move,Prithvi Layout
Super built-up Area,18-Aug,Varthur Road
Super built-up Area,Ready To Move,B Narayanapura
Super built-up Area,18-Jul,T R Mill Road
Super built-up Area,Ready To Move,Singasandra
Plot Area,Ready To Move,Victoria Layout
Super built-up Area,Ready To Move,Kasavanhalli
Plot Area,Ready To Move,Whitefield
Built-up Area,Ready To Move,Indira Nagar
Super built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,Ready To Move,Old Madras Road
Plot Area,18-Sep,ITPL
Super built-up Area,18-Aug,Bommasandra
Built-up Area,18-Jun,Whitefield
Super built-up Area,18-Aug,Ananth Nagar
Plot Area,18-Jul,Varthur
Super built-up Area,Ready To Move,Kaggadasapura
Super built-up Area,18-Jul,CV Raman Nagar
Super built-up Area,Ready To Move,Hormavu
Plot Area,18-Apr,Nagarbhavi
Super built-up Area,Ready To Move,Sahakara Nagar
Super built-up Area,Ready To Move,Sanne Amanikere
Super built-up Area,19-Mar,Hosa Road
Plot Area,Ready To Move,Banashankari Stage VI
Carpet Area,Ready To Move,CV Raman Nagar
Super built-up Area,Ready To Move,Indira Nagar Stage 2
Built-up Area,Ready To Move,Kanakpura Road
Super built-up Area,Ready To Move,Somasundara Palya
Carpet Area,Ready To Move,Hommadevanahalli
Super built-up Area,Ready To Move,Varthur
Plot Area,Ready To Move,BTM Layout 2nd Stage 1st Phase
Built-up Area,Ready To Move,Hebbal
Super built-up Area,18-Mar,Tunganagara
Super built-up Area,18-Sep,Abbigere
Super built-up Area,18-Mar,Sarjapur Road
Built-up Area,Ready To Move,Koramangala
Super built-up Area,Ready To Move,Koramangala
Super built-up Area,Ready To Move,Haralur Road
Super built-up Area,18-May,Kasavanhalli
Carpet Area,Ready To Move,Doddakannelli
Super built-up Area,Ready To Move,Billekahalli
Super built-up Area,Ready To Move,T C Palya main Road
Super built-up Area,Ready To Move,8th Phase JP Nagar
Super built-up Area,Ready To Move,Kalena Agrahara
Super built-up Area,Ready To Move,Hoodi
Super built-up Area,Ready To Move,Sarjapur
Super built-up Area,Ready To Move,Whitefield
Built-up Area,Ready To Move,Vishwapriya Nagar
Built-up Area,Ready To Move,Vidyaranyapura
Super built-up Area,22-Dec,Koramangala
Super built-up Area,17-Apr,Banashankari Stage V
Super built-up Area,Ready To Move,Jalahalli
Super built-up Area,Ready To Move,Lake City
Plot Area,18-Sep,Whitefield
Super built-up Area,Ready To Move,Vittal Nagar
Plot Area,Ready To Move,Old Madras Road
Built-up Area,Ready To Move,Nagavara
Super built-up Area,Ready To Move,Sahakara Nagar
Plot Area,Ready To Move,Ulsoor
Built-up Area,Ready To Move,Bellandur
Plot Area,Ready To Move,JP Nagar
Super built-up Area,18-Apr,Electronic City
Super built-up Area,Ready To Move,Padmanabhanagar
Super built-up Area,19-Jun,Hebbal
Super built-up Area,Ready To Move,Horamavu Agara
Super built-up Area,18-Mar,Hebbal
Super built-up Area,19-Jun,Kodigehalli
Super built-up Area,Ready To Move,Haralur Road
Built-up Area,Ready To Move,Akshaya Nagar
Super built-up Area,Ready To Move,Bannerghatta Road
Super built-up Area,Ready To Move,Uttarahalli
Super built-up Area,Ready To Move,R.T. Nagar
Super built-up Area,Ready To Move,Subramanyapura
Built-up Area,Ready To Move,Bisuvanahalli
Super built-up Area,Ready To Move,Hegde Nagar
Built-up Area,Ready To Move,Sarjapur
Super built-up Area,Ready To Move,Richards Town
Super built-up Area,Ready To Move,Panathur
Super built-up Area,Ready To Move,Gunjur
Plot Area,Ready To Move,Sahakara Nagar
Super built-up Area,Ready To Move,Bellandur
Super built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,18-Aug,Talaghattapura
Plot Area,Ready To Move,R.T. Nagar
Super built-up Area,18-Jun,Rajaji Nagar
Super built-up Area,Ready To Move,Jakkur
Built-up Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,Kasavanhalli
Super built-up Area,Ready To Move,Bagalur
Plot Area,Ready To Move,Jeevan bima nagar
Super built-up Area,Ready To Move,Singasandra
Super built-up Area,18-Mar,Electronic City
Super built-up Area,Ready To Move,1 Immadihalli
Built-up Area,Ready To Move,RMV Extension Stage 2
Super built-up Area,Ready To Move,Marathahalli
Built-up Area,Ready To Move,Hulimavu
Super built-up Area,Ready To Move,Electronic City
Super built-up Area,Ready To Move,Sarjapur Road
Plot Area,Ready To Move,Devi Nagar
Plot Area,Ready To Move,4th Block Koramangala
Built-up Area,Ready To Move,BTM Layout
Built-up Area,Ready To Move,"JP Nagar 7th Phase,"
Super built-up Area,Ready To Move,Ambedkar Nagar
Built-up Area,Ready To Move,Uttarahalli
Super built-up Area,Ready To Move,Mico Layout
Plot Area,Ready To Move,Sampigehalli
Plot Area,Ready To Move,HAL 2nd Stage
Super built-up Area,18-Nov,Jakkur
Super built-up Area,Ready To Move,Domlur
Super built-up Area,Ready To Move,Hennur Bande
Plot Area,18-Dec,ITPL
Super built-up Area,Ready To Move,Kamakshipalya
Plot Area,Ready To Move,Navodaya Nagar
Super built-up Area,Ready To Move,Thanisandra
Super built-up Area,Ready To Move,Padmanabhanagar
Plot Area,18-May,Kasavanhalli
Super built-up Area,Ready To Move,Bellandur
Super built-up Area,Ready To Move,Sarjapur Road
Plot Area,Ready To Move,Kumaraswami Layout
Plot Area,18-Feb,Pattanagere
Built-up Area,Ready To Move,Karuna Nagar
Plot Area,Ready To Move,2nd Stage Nagarbhavi
Super built-up Area,18-Nov,B Narayanapura
Super built-up Area,Ready To Move,Attibele
Super built-up Area,19-Jun,Bannerghatta Road
Plot Area,Ready To Move,Ramamurthy Nagar
Super built-up Area,Ready To Move,Sector 7 HSR Layout
Built-up Area,Ready To Move,Doddanakundi Industrial Area 2
Built-up Area,Ready To Move,Kothanur
Plot Area,17-Jul,Kumara Park
Plot Area,18-Dec,Whitefield
Built-up Area,Ready To Move,Kengeri
Super built-up Area,Ready To Move,Mahadevpura
Super built-up Area,22-May,Jakkur
Plot Area,Ready To Move,Guni Agrahara
Super built-up Area,Ready To Move,Mysore Road
Built-up Area,Ready To Move,Devanahalli
Super built-up Area,Ready To Move,AECS Layout
Super built-up Area,19-Aug,Shankarapuram
Super built-up Area,Ready To Move,Bisuvanahalli
Super built-up Area,Ready To Move,Shetty Halli
Super built-up Area,19-Dec,Electronic City
Built-up Area,Ready To Move,Bisuvanahalli
Plot Area,Ready To Move,AGB Layout
Plot Area,Ready To Move,2nd Stage Arekere Mico Layout
Super built-up Area,Ready To Move,Subramanyapura
Super built-up Area,Ready To Move,Thigalarapalya
Super built-up Area,21-Dec,Talaghattapura
Plot Area,18-May,Banashankari Stage VI
Super built-up Area,Ready To Move,Thanisandra
Super built-up Area,Ready To Move,Dommasandra
Super built-up Area,Ready To Move,Thigalarapalya
Super built-up Area,Ready To Move,Bellandur
Super built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,18-Aug,Ramagondanahalli
Super built-up Area,Ready To Move,Electronic City
Super built-up Area,Ready To Move,Kalena Agrahara
Built-up Area,Ready To Move,CV Raman Nagar
Built-up Area,Ready To Move,Bommasandra
Super built-up Area,Ready To Move,Judicial Layout
Super built-up Area,Ready To Move,Thanisandra
Super built-up Area,Ready To Move,Panathur
Super built-up Area,18-Sep,Bannerghatta Road
Built-up Area,Ready To Move,Raja Rajeshwari Nagar
Plot Area,Ready To Move,Bidrahalli
Super built-up Area,Ready To Move,Electronics City Phase 1
Super built-up Area,Ready To Move,Uttarahalli
Plot Area,Ready To Move,Magadi Road
Super built-up Area,Ready To Move,Budigere
Super built-up Area,Ready To Move,Jakkur
Plot Area,Ready To Move,Choodasandra
Super built-up Area,Ready To Move,Chinnapanahalli
Super built-up Area,Ready To Move,Hegde Nagar
Super built-up Area,Ready To Move,Bilal Nagar
Super built-up Area,Ready To Move,Banashankari
Super built-up Area,Ready To Move,Hormavu
Super built-up Area,21-Dec,Bannerghatta Road
Super built-up Area,19-Dec,Koramangala
Built-up Area,Ready To Move,Thanisandra
Plot Area,Ready To Move,Margondanahalli
Super built-up Area,Ready To Move,NGR Layout
Super built-up Area,Ready To Move,Amruthahalli
Built-up Area,18-Jun,Panathur
Super built-up Area,17-Sep,Bannerghatta Road
Plot Area,Ready To Move,Krishna Nagar
Super built-up Area,Ready To Move,Hosur Road
Super built-up Area,Ready To Move,Thanisandra
Built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,Ready To Move,Benson Town
Super built-up Area,Ready To Move,Rajaji Nagar
Built-up Area,Ready To Move,Banjara Layout
Super built-up Area,Ready To Move,Kanakapura Main Road
Super built-up Area,Ready To Move,Harlur
Super built-up Area,Ready To Move,Raja Rajeshwari Nagar
Built-up Area,Ready To Move,Nagarbhavi
Plot Area,Ready To Move,Sarjapur Road
Super built-up Area,18-May,Bommanahalli
Super built-up Area,Ready To Move,Akshaya Nagar
Super built-up Area,Ready To Move,Banashankari
Built-up Area,Ready To Move,7th Phase JP Nagar
Super built-up Area,Ready To Move,Electronics City Phase 1
Super built-up Area,Ready To Move,Electronics City Phase 1
Built-up Area,Ready To Move,Palanahalli
Super built-up Area,Ready To Move,Channasandra
Super built-up Area,18-Jul,Electronic City
Super built-up Area,Ready To Move,Hebbal
Plot Area,Ready To Move,Suryanagar
Super built-up Area,21-Jun,Vijayanagar
Super built-up Area,Ready To Move,NGR Layout
Super built-up Area,Ready To Move,Nanjappa Layout
Super built-up Area,18-Aug,Konanakunte
Super built-up Area,Ready To Move,Banagiri Nagar
Super built-up Area,18-Jun,Kothannur
Super built-up Area,Ready To Move,CV Raman Nagar
Super built-up Area,Ready To Move,2nd Stage Arekere Mico Layout
Super built-up Area,Ready To Move,Gunjur
Super built-up Area,Ready To Move,Yelahanka
Super built-up Area,Ready To Move,Vittasandra
Super built-up Area,Ready To Move,Electronic City Phase II
Plot Area,Ready To Move,Wilson Garden
Plot Area,Ready To Move,Mahalakshmi Layout
Super built-up Area,Ready To Move,Vittasandra
Super built-up Area,Ready To Move,Kengeri
Super built-up Area,20-Dec,Rachenahalli
Built-up Area,Ready To Move,Indira Nagar
Built-up Area,Ready To Move,Uttarahalli
Plot Area,Ready To Move,Rajaji Nagar
Super built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,Ready To Move,Ambedkar Nagar
Super built-up Area,Ready To Move,Rajaji Nagar
Super built-up Area,Ready To Move,Duvasapalya
Super built-up Area,Ready To Move,Sarjapur
Super built-up Area,Ready To Move,R.T. Nagar
Super built-up Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,Hoskote
Super built-up Area,Ready To Move,Attibele
Super built-up Area,Ready To Move,Gubbalala
Super built-up Area,Ready To Move,Choodasandra
Built-up Area,Ready To Move,BCMC Layout
Plot Area,Ready To Move,9th Phase JP Nagar
Super built-up Area,Ready To Move,Hosakerehalli
Plot Area,Ready To Move,Vishwapriya Layout
Super built-up Area,Ready To Move,Nehru Nagar
Plot Area,Ready To Move,Jnanabharathi Layout
Super built-up Area,Ready To Move,Haralur Road
Super built-up Area,19-Jul,Kanakpura Road
Super built-up Area,18-May,Padmanabhanagar
Super built-up Area,Ready To Move,Horamavu Agara
Super built-up Area,18-Apr,Whitefield
Super built-up Area,Ready To Move,7th Phase JP Nagar
Super built-up Area,Ready To Move,Sarjapur Road
Plot Area,Ready To Move,Kothanur
Super built-up Area,Ready To Move,Raja Rajeshwari Nagar
Carpet Area,Ready To Move,Kanakpura Road
Super built-up Area,17-Oct,Banashankari Stage V
Super built-up Area,Ready To Move,Hosakerehalli
Plot Area,Ready To Move,Pai Layout
Super built-up Area,Ready To Move,Haralur Road
Built-up Area,Ready To Move,Banashankari Stage II
Plot Area,Ready To Move,Sarjapur Road
Plot Area,Ready To Move,Horamavu Agara
Plot Area,Ready To Move,Udaya Nagar
Built-up Area,Ready To Move,Laggere
Super built-up Area,Ready To Move,Raja Rajeshwari Nagar
Built-up Area,Ready To Move,Hennur Road
Super built-up Area,18-Aug,Hosakerehalli
Carpet Area,18-Dec,Bhoganhalli
Plot Area,Ready To Move,9th Block Jayanagar
Super built-up Area,Ready To Move,Sarjapur Road
